16
0.00	0.46094 0.37671 0.13014 1.00000 0.58904 0.49315 0.50781 0.50000 0.37500 1.00000 0.18493 0.21233 0.08219 0.36301 0.99219 0.35616 0.52055 0.41096
21.26	0.48732 0.43151 0.58219 1.00000 0.59765 0.51788 0.50390 0.50000 0.43750 1.00000 0.30822 0.30137 0.41781 0.48877 0.99610 0.32192 0.52055 0.41781
23.71	0.28767 0.80822 0.60274 0.25342 0.79883 0.40962 0.50195 0.50000 0.46875 1.00000 0.54110 0.53425 0.50000 0.60959 0.99805 0.32877 0.52055 0.42466
41.70	0.30137 0.73288 0.33562 0.55479 0.83562 0.39726 0.50098 0.50000 0.43151 1.00000 0.36301 0.36301 0.88356 0.55479 0.99902 0.35616 0.52740 0.42466
45.79	0.44521 0.15068 0.96575 0.25685 0.91781 0.34932 0.50049 0.50000 0.46575 1.00000 0.36301 0.36301 0.88356 0.55479 0.99951 0.35616 0.52740 0.42466
105.48	0.47945 0.12671 0.94178 0.17295 0.95890 0.32534 0.50024 0.50000 0.48287 1.00000 0.41096 0.39726 0.45890 0.52397 0.99976 0.43836 0.51370 0.46233
108.76	0.95890 0.95205 0.72603 0.32877 0.97945 0.31336 0.50012 0.50000 0.49144 1.00000 0.89041 0.21918 0.86301 0.52055 0.99988 0.43836 0.51370 0.46575
169.27	0.73630 0.52740 0.82192 0.20890 0.98973 0.30736 0.50006 0.50000 0.49572 1.00000 0.51370 0.55479 0.67466 0.50685 0.99994 0.47260 0.50685 0.48288
171.31	0.42466 0.10959 0.83562 0.25342 0.99487 0.30436 0.50003 0.50000 0.49786 1.00000 0.39726 0.34247 0.19178 0.52740 0.99997 0.48972 0.50343 0.49144
255.12	0.06164 0.50685 0.80137 0.36301 0.99743 0.30287 0.50002 0.50000 0.49893 1.00000 0.82192 0.74658 0.71918 0.51027 0.99998 0.49829 0.50171 0.49572
257.99	0.69863 0.00000 0.90411 0.23288 1.00000 0.30212 0.50001 0.50000 0.49946 1.00000 0.86301 0.81849 0.60274 0.50171 0.99999 0.50257 0.50086 0.49786
297.65	0.20548 0.15753 0.74658 0.14384 0.99315 0.30174 0.50000 0.50000 0.49973 1.00000 0.56164 0.47945 0.95205 0.36301 1.00000 0.50471 0.50043 0.49893
301.73	0.04795 0.95890 0.50000 0.11644 0.94521 0.30156 0.50000 0.50000 0.49987 1.00000 0.44521 0.34247 0.49315 0.42808 1.00000 0.50578 0.50021 0.49946
319.31	0.05479 0.95890 0.50685 0.13014 0.95890 0.30146 0.50000 0.50000 0.49993 1.00000 0.54795 0.43836 0.48973 0.46062 1.00000 0.50631 0.50011 0.49973
321.77	0.28425 0.53082 0.86301 0.10959 0.97945 0.30142 0.50000 0.50000 0.49997 1.00000 0.72603 0.66438 0.48801 0.47688 1.00000 0.50658 0.50005 0.49987
584.66	0.51370 0.10274 0.91781 0.08904 1.00000 0.30137 0.50000 0.50000 0.50000 0.15753 0.90411 0.89041 0.48630 0.49315 1.00000 0.50685 0.50000 0.50000
